Building/  Project Name,Street Name,Postal District,Type,No. of Bedroom  (for Non-Landed Only),Monthly Rent  ($),Floor Area (Sqft)  1,Lease  Commencement  Date
# 1 LOFT,LORONG 24 GEYLANG,14,Non-landed Properties,1,2000,500 to 600,Jun-21
# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,1850,500 to 600,Jun-21
1 MOULMEIN RISE,MOULMEIN RISE,11,Non-landed Properties,3,5000,1200 to 1300,Jun-21
# 1 LOFT,LORONG 24 GEYLANG,14,Non-landed Properties,3,3300,1300 to 1400,Jun-21
# 1 LOFT,LORONG 24 GEYLANG,14,Non-landed Properties,1,2100,500 to 600,Jun-21
# 1 LOFT,LORONG 24 GEYLANG,14,Non-landed Properties,1,1700,500 to 600,Jun-21
# 1 LOFT,LORONG 24 GEYLANG,14,Non-landed Properties,1,2100,600 to 700,Jun-21
# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,2250,500 to 600,May-21
# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,1950,700 to 800,May-21
1 CANBERRA,CANBERRA DRIVE,27,Executive Condominium,4,3100,1200 to 1300,May-21
# 1 LOFT,LORONG 24 GEYLANG,14,Non-landed Properties,3,3200,1000 to 1100,May-21
1 CANBERRA,CANBERRA DRIVE,27,Executive Condominium,3,2500,900 to 1000,May-21
# 1 LOFT,LORONG 24 GEYLANG,14,Non-landed Properties,1,2100,500 to 600,May-21
1 CANBERRA,CANBERRA DRIVE,27,Executive Condominium,4,3550,2200 to 2300,May-21
1 MOULMEIN RISE,MOULMEIN RISE,11,Non-landed Properties,3,4300,1200 to 1300,Apr-21
# 1 LOFT,LORONG 24 GEYLANG,14,Non-landed Properties,1,2050,500 to 600,Apr-21
# 1 LOFT,LORONG 24 GEYLANG,14,Non-landed Properties,1,2000,500 to 600,Apr-21
# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,2600,500 to 600,Apr-21
# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,1900,500 to 600,Apr-21
1 KING ALBERT PARK,KING ALBERT PARK,21,Non-landed Properties,2,2800,1000 to 1100,Apr-21
# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,2600,500 to 600,Apr-21
# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,2000,500 to 600,Apr-21
# 1 LOFT,LORONG 24 GEYLANG,14,Non-landed Properties,1,1950,500 to 600,Apr-21
1 KING ALBERT PARK,KING ALBERT PARK,21,Non-landed Properties,1,2000,800 to 900,Apr-21
# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,2480,500 to 600,Apr-21
# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,2300,600 to 700,Apr-21
# 1 LOFT,LORONG 24 GEYLANG,14,Non-landed Properties,1,2400,500 to 600,Apr-21
# 1 LOFT,LORONG 24 GEYLANG,14,Non-landed Properties,3,3450,1300 to 1400,Apr-21
# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,2500,500 to 600,Apr-21
# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,2000,500 to 600,Apr-21
1 KING ALBERT PARK,KING ALBERT PARK,21,Non-landed Properties,3,3500,1400 to 1500,Apr-21
1 KING ALBERT PARK,KING ALBERT PARK,21,Non-landed Properties,2,3200,1100 to 1200,Apr-21
# 1 LOFT,LORONG 24 GEYLANG,14,Non-landed Properties,1,2000,500 to 600,Apr-21
# 1 LOFT,LORONG 24 GEYLANG,14,Non-landed Properties,1,2700,500 to 600,Mar-21
1 MOULMEIN RISE,MOULMEIN RISE,11,Non-landed Properties,3,4300,1200 to 1300,Mar-21
1 KING ALBERT PARK,KING ALBERT PARK,21,Non-landed Properties,2,2800,1200 to 1300,Mar-21
# 1 LOFT,LORONG 24 GEYLANG,14,Non-landed Properties,1,1700,500 to 600,Mar-21
# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,1300,500 to 600,Mar-21
1 KING ALBERT PARK,KING ALBERT PARK,21,Non-landed Properties,3,3700,1400 to 1500,Mar-21
# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,2480,500 to 600,Mar-21
1 CANBERRA,CANBERRA DRIVE,27,Executive Condominium,3,2500,900 to 1000,Mar-21
# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,2100,500 to 600,Mar-21
1 CANBERRA,CANBERRA DRIVE,27,Executive Condominium,3,2700,1000 to 1100,Mar-21
1 CANBERRA,CANBERRA DRIVE,27,Executive Condominium,3,2700,900 to 1000,Mar-21
1 CANBERRA,CANBERRA DRIVE,27,Executive Condominium,3,2900,1000 to 1100,Mar-21
# 1 LOFT,LORONG 24 GEYLANG,14,Non-landed Properties,1,1850,500 to 600,Mar-21
1 KING ALBERT PARK,KING ALBERT PARK,21,Non-landed Properties,3,3450,1400 to 1500,Mar-21
1 KING ALBERT PARK,KING ALBERT PARK,21,Non-landed Properties,2,2700,1000 to 1100,Feb-21
1 KING ALBERT PARK,KING ALBERT PARK,21,Non-landed Properties,2,3000,1000 to 1100,Feb-21
1 KING ALBERT PARK,KING ALBERT PARK,21,Non-landed Properties,2,2900,1000 to 1100,Feb-21
1 KING ALBERT PARK,KING ALBERT PARK,21,Non-landed Properties,2,3150,1000 to 1100,Feb-21
1 KING ALBERT PARK,KING ALBERT PARK,21,Non-landed Properties,1,2100,700 to 800,Feb-21
1 MOULMEIN RISE,MOULMEIN RISE,11,Non-landed Properties,3,4200,1200 to 1300,Feb-21
1 CANBERRA,CANBERRA DRIVE,27,Executive Condominium,3,3000,900 to 1000,Jan-21
# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,1800,500 to 600,Jan-21
1 KING ALBERT PARK,KING ALBERT PARK,21,Non-landed Properties,2,2850,1100 to 1200,Jan-21
# 1 LOFT,LORONG 24 GEYLANG,14,Non-landed Properties,1,2000,500 to 600,Jan-21
1 MOULMEIN RISE,MOULMEIN RISE,11,Non-landed Properties,3,4100,1200 to 1300,Jan-21
1 KING ALBERT PARK,KING ALBERT PARK,21,Non-landed Properties,3,3400,1200 to 1300,Jan-21
1 CANBERRA,CANBERRA DRIVE,27,Executive Condominium,3,2800,1000 to 1100,Jan-21
# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,2000,600 to 700,Jan-21
# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,1800,600 to 700,Jan-21
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,2300,400 to 500,Jun-21
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,2800,900 to 1000,Jun-21
11 AMBER ROAD,AMBER ROAD,15,Non-landed Properties,3,3575,1400 to 1500,Jun-21
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,2100,400 to 500,Jun-21
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,2300,400 to 500,Jun-21
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,1800,400 to 500,Jun-21
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,2200,400 to 500,Jun-21
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,2450,400 to 500,Jun-21
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,2200,500 to 600,May-21
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,2250,400 to 500,May-21
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,2100,400 to 500,May-21
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,2000,400 to 500,May-21
11 AMBER ROAD,AMBER ROAD,15,Non-landed Properties,3,3600,1500 to 1600,Apr-21
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,2800,800 to 900,Apr-21
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,2000,800 to 900,Apr-21
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,3050,900 to 1000,Apr-21
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,2000,500 to 600,Apr-21
11 AMBER ROAD,AMBER ROAD,15,Non-landed Properties,3,3000,1500 to 1600,Apr-21
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,2000,400 to 500,Mar-21
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,1950,400 to 500,Mar-21
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,2250,700 to 800,Mar-21
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,2000,400 to 500,Mar-21
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,1800,600 to 700,Mar-21
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,2300,400 to 500,Mar-21
11 AMBER ROAD,AMBER ROAD,15,Non-landed Properties,3,3700,1400 to 1500,Mar-21
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,2500,800 to 900,Feb-21
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,2200,400 to 500,Feb-21
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,2000,400 to 500,Jan-21
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,2400,800 to 900,Jan-21
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,1,2150,400 to 500,Jun-21
111 EMERALD HILL,EMERALD HILL ROAD,9,Non-landed Properties,4,10500,2400 to 2500,Jun-21
16 @ AMBER,AMBER ROAD,15,Non-landed Properties,1,1750,400 to 500,Jun-21
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,2,3300,1200 to 1300,Jun-21
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,1,2100,400 to 500,Jun-21
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,3,3300,900 to 1000,Jun-21
111 EMERALD HILL,EMERALD HILL ROAD,9,Non-landed Properties,3,9000,2100 to 2200,May-21
111 EMERALD HILL,EMERALD HILL ROAD,9,Non-landed Properties,3,9000,2100 to 2200,May-21
16 @ AMBER,AMBER ROAD,15,Non-landed Properties,1,1850,400 to 500,May-21
111 EMERALD HILL,EMERALD HILL ROAD,9,Non-landed Properties,3,8800,1900 to 2000,May-21
18 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,4,12500,>3000,May-21
16 @ AMBER,AMBER ROAD,15,Non-landed Properties,2,2500,600 to 700,May-21
183 LONGHAUS,UPPER THOMSON ROAD,20,Non-landed Properties,3,3050,700 to 800,May-21
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,2,2850,800 to 900,May-21
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,1,2000,400 to 500,May-21
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,1,1950,400 to 500,Apr-21
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,2,2650,700 to 800,Apr-21
16 @ AMBER,AMBER ROAD,15,Non-landed Properties,2,3700,1200 to 1300,Apr-21
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,2,3200,1200 to 1300,Apr-21
16 @ AMBER,AMBER ROAD,15,Non-landed Properties,1,1950,400 to 500,Apr-21
111 EMERALD HILL,EMERALD HILL ROAD,9,Non-landed Properties,3,9200,2100 to 2200,Apr-21
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,1,2200,400 to 500,Apr-21
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,2,2600,700 to 800,Apr-21
183 LONGHAUS,UPPER THOMSON ROAD,20,Non-landed Properties,2,2500,500 to 600,Apr-21
18 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,4,6000,2000 to 2100,Apr-21
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,2,2500,700 to 800,Apr-21
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,2,2650,700 to 800,Mar-21
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,2,3000,1000 to 1100,Mar-21
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,3,4000,1700 to 1800,Mar-21
183 LONGHAUS,UPPER THOMSON ROAD,20,Non-landed Properties,3,3900,1100 to 1200,Mar-21
16 @ AMBER,AMBER ROAD,15,Non-landed Properties,1,1900,400 to 500,Mar-21
183 LONGHAUS,UPPER THOMSON ROAD,20,Non-landed Properties,3,3000,900 to 1000,Mar-21
111 EMERALD HILL,EMERALD HILL ROAD,9,Non-landed Properties,3,8400,2100 to 2200,Mar-21
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,3,2800,900 to 1000,Mar-21
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,3,3400,900 to 1000,Mar-21
111 EMERALD HILL,EMERALD HILL ROAD,9,Non-landed Properties,3,6000,1900 to 2000,Mar-21
183 LONGHAUS,UPPER THOMSON ROAD,20,Non-landed Properties,2,2200,500 to 600,Feb-21
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,2,2750,700 to 800,Feb-21
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,3,3200,900 to 1000,Feb-21
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,1,2000,400 to 500,Feb-21
183 LONGHAUS,UPPER THOMSON ROAD,20,Non-landed Properties,2,2400,500 to 600,Feb-21
183 LONGHAUS,UPPER THOMSON ROAD,20,Non-landed Properties,2,3100,700 to 800,Feb-21
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,3,3200,900 to 1000,Feb-21
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,1,2000,400 to 500,Feb-21
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,1,2000,400 to 500,Feb-21
183 LONGHAUS,UPPER THOMSON ROAD,20,Non-landed Properties,3,4000,1100 to 1200,Feb-21
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,2,1950,800 to 900,Jan-21
16 @ AMBER,AMBER ROAD,15,Non-landed Properties,1,1800,400 to 500,Jan-21
183 LONGHAUS,UPPER THOMSON ROAD,20,Non-landed Properties,2,2400,500 to 600,Jan-21
183 LONGHAUS,UPPER THOMSON ROAD,20,Non-landed Properties,3,3300,700 to 800,Jan-21
16 @ AMBER,AMBER ROAD,15,Non-landed Properties,2,2100,600 to 700,Jan-21
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,1,2200,400 to 500,Jan-21
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,2,2850,800 to 900,Jan-21
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,2,2600,700 to 800,Jan-21
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,2,3050,1000 to 1100,Jan-21
183 LONGHAUS,UPPER THOMSON ROAD,20,Non-landed Properties,2,2700,600 to 700,Jan-21
183 LONGHAUS,UPPER THOMSON ROAD,20,Non-landed Properties,2,2400,500 to 600,Jan-21
111 EMERALD HILL,EMERALD HILL ROAD,9,Non-landed Properties,4,9750,2400 to 2500,Jan-21
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,1,1900,400 to 500,Jan-21
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,1,1950,400 to 500,Jan-21
21 ANDERSON,ANDERSON ROAD,10,Non-landed Properties,3,12000,>3000,Jun-21
21 ANDERSON,ANDERSON ROAD,10,Non-landed Properties,3,8000,1600 to 1700,Jun-21
21 RICHARDS,RICHARDS AVENUE,19,Non-landed Properties,2,2550,600 to 700,Jun-21
1919,SOPHIA ROAD,9,Non-landed Properties,2,3600,800 to 900,Jun-21
1919,SOPHIA ROAD,9,Non-landed Properties,1,2700,500 to 600,Jun-21
2 RVG,RIVER VALLEY GROVE,9,Non-landed Properties,2,3500,900 to 1000,Jun-21
21 ANDERSON,ANDERSON ROAD,10,Non-landed Properties,3,8000,1600 to 1700,Jun-21
21 ANDERSON,ANDERSON ROAD,10,Non-landed Properties,3,8000,1900 to 2000,May-21
1919,SOPHIA ROAD,9,Non-landed Properties,1,3000,500 to 600,May-21
2 RVG,RIVER VALLEY GROVE,9,Non-landed Properties,2,3750,900 to 1000,May-21
1919,SOPHIA ROAD,9,Non-landed Properties,2,3600,800 to 900,May-21
2 RVG,RIVER VALLEY GROVE,9,Non-landed Properties,2,3700,900 to 1000,May-21
21 ANDERSON,ANDERSON ROAD,10,Non-landed Properties,3,9000,1900 to 2000,May-21
2 RVG,RIVER VALLEY GROVE,9,Non-landed Properties,2,3500,900 to 1000,May-21
1919,SOPHIA ROAD,9,Non-landed Properties,2,3450,700 to 800,May-21
21 ANDERSON,ANDERSON ROAD,10,Non-landed Properties,3,8000,1600 to 1700,May-21
1919,SOPHIA ROAD,9,Non-landed Properties,2,3450,800 to 900,May-21
1919,SOPHIA ROAD,9,Non-landed Properties,2,3650,700 to 800,Apr-21
1919,SOPHIA ROAD,9,Non-landed Properties,2,3700,700 to 800,Apr-21
2 RVG,RIVER VALLEY GROVE,9,Non-landed Properties,2,3700,800 to 900,Apr-21
1919,SOPHIA ROAD,9,Non-landed Properties,3,4200,1000 to 1100,Apr-21
21 ANDERSON,ANDERSON ROAD,10,Non-landed Properties,3,8000,1600 to 1700,Apr-21
2 RVG,RIVER VALLEY GROVE,9,Non-landed Properties,1,2850,600 to 700,Apr-21
24 ONE RESIDENCES,PASIR PANJANG ROAD,5,Non-landed Properties,2,2700,600 to 700,Apr-21
1919,SOPHIA ROAD,9,Non-landed Properties,1,2750,500 to 600,Apr-21
2 RVG,RIVER VALLEY GROVE,9,Non-landed Properties,1,2800,600 to 700,Apr-21
2 RVG,RIVER VALLEY GROVE,9,Non-landed Properties,1,2800,600 to 700,Apr-21
1919,SOPHIA ROAD,9,Non-landed Properties,1,3000,500 to 600,Apr-21
21 ANDERSON,ANDERSON ROAD,10,Non-landed Properties,3,9000,1900 to 2000,Apr-21
21 ANDERSON,ANDERSON ROAD,10,Non-landed Properties,3,8000,1600 to 1700,Apr-21
21 ANDERSON,ANDERSON ROAD,10,Non-landed Properties,3,8000,1600 to 1700,Apr-21
1919,SOPHIA ROAD,9,Non-landed Properties,1,2800,500 to 600,Mar-21
1919,SOPHIA ROAD,9,Non-landed Properties,2,3400,700 to 800,Mar-21
1919,SOPHIA ROAD,9,Non-landed Properties,1,2800,500 to 600,Mar-21
2 RVG,RIVER VALLEY GROVE,9,Non-landed Properties,2,3650,800 to 900,Mar-21
21 ANDERSON,ANDERSON ROAD,10,Non-landed Properties,3,8000,1600 to 1700,Mar-21
1919,SOPHIA ROAD,9,Non-landed Properties,2,3600,700 to 800,Mar-21
1919,SOPHIA ROAD,9,Non-landed Properties,3,4500,1000 to 1100,Mar-21
2 RVG,RIVER VALLEY GROVE,9,Non-landed Properties,2,3500,800 to 900,Mar-21
24 ONE RESIDENCES,PASIR PANJANG ROAD,5,Non-landed Properties,2,2500,400 to 500,Mar-21
1919,SOPHIA ROAD,9,Non-landed Properties,1,2800,500 to 600,Mar-21
2 RVG,RIVER VALLEY GROVE,9,Non-landed Properties,2,3500,900 to 1000,Mar-21
1919,SOPHIA ROAD,9,Non-landed Properties,3,4700,1300 to 1400,Mar-21
24 ONE RESIDENCES,PASIR PANJANG ROAD,5,Non-landed Properties,2,2550,400 to 500,Mar-21
1919,SOPHIA ROAD,9,Non-landed Properties,2,3700,800 to 900,Mar-21
2 RVG,RIVER VALLEY GROVE,9,Non-landed Properties,2,3600,900 to 1000,Feb-21
24 ONE RESIDENCES,PASIR PANJANG ROAD,5,Non-landed Properties,2,2500,400 to 500,Feb-21
21 ANDERSON,ANDERSON ROAD,10,Non-landed Properties,3,8000,1600 to 1700,Feb-21
1919,SOPHIA ROAD,9,Non-landed Properties,2,3800,800 to 900,Feb-21
1919,SOPHIA ROAD,9,Non-landed Properties,3,4600,1300 to 1400,Feb-21
2 RVG,RIVER VALLEY GROVE,9,Non-landed Properties,2,4100,900 to 1000,Jan-21
1919,SOPHIA ROAD,9,Non-landed Properties,1,2800,500 to 600,Jan-21
1919,SOPHIA ROAD,9,Non-landed Properties,2,3450,600 to 700,Jan-21
21 RICHARDS,RICHARDS AVENUE,19,Non-landed Properties,1,1950,400 to 500,Jan-21
1919,SOPHIA ROAD,9,Non-landed Properties,1,2700,500 to 600,Jan-21
21 ANDERSON,ANDERSON ROAD,10,Non-landed Properties,3,8000,1600 to 1700,Jan-21
21 ANDERSON,ANDERSON ROAD,10,Non-landed Properties,3,9000,1900 to 2000,Jan-21
1919,SOPHIA ROAD,9,Non-landed Properties,1,2750,500 to 600,Jan-21
1919,SOPHIA ROAD,9,Non-landed Properties,1,2700,500 to 600,Jan-21
21 RICHARDS,RICHARDS AVENUE,19,Non-landed Properties,2,2300,600 to 700,Jan-21
24 ONE RESIDENCES,PASIR PANJANG ROAD,5,Non-landed Properties,2,2900,400 to 500,Jan-21
28 IMPERIAL RESIDENCES,LORONG 26 GEYLANG,14,Non-landed Properties,1,2200,400 to 500,Jun-21
28 RC SUITES,RACE COURSE LANE,8,Non-landed Properties,1,2200,400 to 500,Jun-21
28 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,2,2500,800 to 900,Jun-21
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,1,2600,400 to 500,Jun-21
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,2,3000,600 to 700,Jun-21
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,2,3300,700 to 800,Jun-21
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,2,3100,600 to 700,Jun-21
28 RC SUITES,RACE COURSE LANE,8,Non-landed Properties,1,2000,400 to 500,Jun-21
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,2,3300,700 to 800,Jun-21
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,1,2500,400 to 500,Jun-21
283 STUDIO,RIVER VALLEY ROAD,9,Non-landed Properties,1,2400,500 to 600,Jun-21
28 RC SUITES,RACE COURSE LANE,8,Non-landed Properties,1,2000,400 to 500,Jun-21
28 IMPERIAL RESIDENCES,LORONG 26 GEYLANG,14,Non-landed Properties,2,3000,500 to 600,Jun-21
28 IMPERIAL RESIDENCES,LORONG 26 GEYLANG,14,Non-landed Properties,1,1700,400 to 500,Jun-21
28 RC SUITES,RACE COURSE LANE,8,Non-landed Properties,1,1800,400 to 500,May-21
28 IMPERIAL RESIDENCES,LORONG 26 GEYLANG,14,Non-landed Properties,2,2100,500 to 600,May-21
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,1,2300,400 to 500,May-21
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,1,2500,400 to 500,May-21
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,1,2800,500 to 600,May-21
28 RC SUITES,RACE COURSE LANE,8,Non-landed Properties,1,2000,400 to 500,May-21
28 RC SUITES,RACE COURSE LANE,8,Non-landed Properties,1,1900,400 to 500,May-21
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,1,2400,400 to 500,May-21
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,2,2800,500 to 600,May-21
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,2,3500,700 to 800,May-21
28 IMPERIAL RESIDENCES,LORONG 26 GEYLANG,14,Non-landed Properties,2,2000,400 to 500,May-21
28 RC SUITES,RACE COURSE LANE,8,Non-landed Properties,1,2100,400 to 500,May-21
28 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,2,2350,800 to 900,May-21
283 STUDIO,RIVER VALLEY ROAD,9,Non-landed Properties,1,2500,500 to 600,Apr-21
28 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,3,3100,1100 to 1200,Apr-21
28 RC SUITES,RACE COURSE LANE,8,Non-landed Properties,1,2100,400 to 500,Apr-21
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,1,2700,400 to 500,Apr-21
28 RC SUITES,RACE COURSE LANE,8,Non-landed Properties,1,2000,400 to 500,Apr-21
28 RC SUITES,RACE COURSE LANE,8,Non-landed Properties,1,2400,500 to 600,Apr-21
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,2,3200,700 to 800,Apr-21
28 IMPERIAL RESIDENCES,LORONG 26 GEYLANG,14,Non-landed Properties,2,2700,1300 to 1400,Apr-21
28 RC SUITES,RACE COURSE LANE,8,Non-landed Properties,1,2600,800 to 900,Apr-21
283 STUDIO,RIVER VALLEY ROAD,9,Non-landed Properties,1,5200,1000 to 1100,Apr-21
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,1,2600,400 to 500,Apr-21
28 IMPERIAL RESIDENCES,LORONG 26 GEYLANG,14,Non-landed Properties,1,1850,400 to 500,Apr-21
28 RC SUITES,RACE COURSE LANE,8,Non-landed Properties,1,1950,400 to 500,Apr-21
28 RC SUITES,RACE COURSE LANE,8,Non-landed Properties,1,2200,400 to 500,Apr-21
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,1,2800,400 to 500,Apr-21
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,1,2500,400 to 500,Apr-21
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,1,2450,400 to 500,Apr-21
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,2,3200,700 to 800,Apr-21
28 IMPERIAL RESIDENCES,LORONG 26 GEYLANG,14,Non-landed Properties,2,2400,500 to 600,Mar-21
28 IMPERIAL RESIDENCES,LORONG 26 GEYLANG,14,Non-landed Properties,2,3000,500 to 600,Mar-21
28 IMPERIAL RESIDENCES,LORONG 26 GEYLANG,14,Non-landed Properties,1,2200,400 to 500,Mar-21
28 RC SUITES,RACE COURSE LANE,8,Non-landed Properties,1,1800,400 to 500,Mar-21
28 IMPERIAL RESIDENCES,LORONG 26 GEYLANG,14,Non-landed Properties,1,1700,400 to 500,Mar-21
28 IMPERIAL RESIDENCES,LORONG 26 GEYLANG,14,Non-landed Properties,1,2400,700 to 800,Mar-21
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,2,2950,600 to 700,Mar-21
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,2,3150,700 to 800,Mar-21
28 RC SUITES,RACE COURSE LANE,8,Non-landed Properties,1,2000,400 to 500,Mar-21
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,1,2200,400 to 500,Mar-21
28 IMPERIAL RESIDENCES,LORONG 26 GEYLANG,14,Non-landed Properties,1,2300,400 to 500,Mar-21
28 IMPERIAL RESIDENCES,LORONG 26 GEYLANG,14,Non-landed Properties,2,2100,500 to 600,Mar-21
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,1,2400,400 to 500,Feb-21
28 IMPERIAL RESIDENCES,LORONG 26 GEYLANG,14,Non-landed Properties,2,2000,500 to 600,Feb-21
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,2,2700,500 to 600,Feb-21
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,1,2300,400 to 500,Feb-21
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,1,2600,400 to 500,Feb-21
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,1,2500,400 to 500,Feb-21
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,2,3900,1200 to 1300,Feb-21
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,2,3250,700 to 800,Feb-21
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,2,2700,500 to 600,Feb-21
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,2,2800,500 to 600,Feb-21
28 RC SUITES,RACE COURSE LANE,8,Non-landed Properties,1,2000,400 to 500,Feb-21
